Kategori,2021,2022,2023,2024
Beras Kualitas Bawah I,9937.5,8987.5,12479.17,14125.0
Beras Kualitas Bawah Ii,9562.5,7933.33,12208.33,13866.67
Beras Kualitas Medium I,10891.67,9879.17,13637.5,15404.17
Beras Kualitas Medium Ii,10620.83,8816.67,13387.5,15245.83
Beras Kualitas Super I,12108.33,10929.17,14916.67,16737.5
Beras Kualitas Super Ii,11654.17,9633.33,14416.67,16245.83
