Kategori,2021,2022,2023,2024
Beras Kualitas Bawah I,4819.0,3437.67,5659.43,6718.78
Beras Kualitas Bawah Ii,4444.0,2383.51,5388.59,6460.45
Beras Kualitas Medium I,5773.16,4329.34,6817.76,7997.95
Beras Kualitas Medium Ii,5502.33,3266.84,6567.76,7839.61
Beras Kualitas Super I,6989.83,5379.34,8096.93,9331.28
Beras Kualitas Super Ii,6535.66,4083.51,7596.93,8839.61
