Kategori,Korelasi,Elastisitas Rata-rata,Volatilitas Margin,Range Margin,Sensitivitas
Beras Kualitas Medium I,-0.8404589806172196,-1.6875227322395991,1559.091594019309,3668.6050000000023,Sangat Sensitif
Beras Kualitas Super I,-0.8353462856651616,-1.3332902379907081,1678.9987816335217,3951.9383333333326,Sangat Sensitif
Beras Kualitas Bawah I,-0.8231603552800938,-1.6571772361292298,1385.8695630411585,3281.1050000000023,Sangat Sensitif
Beras Kualitas Medium Ii,-0.7941939502231398,-1.0837923445313844,1936.9081871357555,4572.7716666666665,Sangat Sensitif
Beras Kualitas Bawah Ii,-0.7879206208385038,-1.074344731463175,1732.1657984070976,4076.9383333333344,Sangat Sensitif
Beras Kualitas Super Ii,-0.7812149860582662,-0.4628186073806422,2019.8276733481875,4756.105000000003,Sangat Sensitif
